ident,type,name,latitude_deg,longitude_deg,iso_country,municipality,longest_runway_ft,Amiri,A319_Amiri
FYML,medium_airport,Mariental Airport,-24.6054,17.9254,,Mariental,6562.0,0,0
FYOA,medium_airport,Ondangwa Airport,-17.878201,15.9526,,Ondangwa,9800.0,0,0
FYOG,medium_airport,Oranjemund Airport,-28.5847,16.446699,,Oranjemund,5252.0,0,0
FYRU,medium_airport,Rundu Airport,-17.956499099731,19.719400405884,,Rundu,11004.0,0,0
FYTM,medium_airport,Tsumeb Airport,-19.26189994812,17.732500076294,,Tsumeb,4823.0,0,0
FYWB,medium_airport,Walvis Bay Airport,-22.979332,14.647102,,Rooikop,7001.0,0,0
FYWE,medium_airport,Eros Airport,-22.612199783325195,17.080400466918945,,Windhoek,7381.0,0,0
FYWH,large_airport,Hosea Kutako International Airport,-22.4799,17.4709,,Windhoek,15010.0,1,1
FZAA,large_airport,Ndjili International Airport,-4.38575,15.4446,CD,Kinshasa,13123.0,1,1
FZAB,medium_airport,Ndolo Airport,-4.32666015625,15.327500343323,CD,N'dolo,5526.0,0,0
FZBO,medium_airport,Bandundu Airport,-3.31132,17.381701,CD,Bandundu,4528.0,0,0
FZCA,medium_airport,Kikwit Airport,-5.03577,18.785601,CD,Kikwit,5151.0,0,0
FZEA,medium_airport,Mbandaka Airport,0.0226000007242,18.2887001038,CD,Mbandaka,7223.0,0,0
FZFD,medium_airport,Gbadolite Airport,4.252745,20.975271,CD,Gbadolite,10499.0,0,0
FZFK,medium_airport,Gemena Airport,3.23537,19.771299,CD,Gemena,6550.0,0,0
FZGA,medium_airport,Lisala Airport,2.17066,21.496901,CD,Lisala,7200.0,0,0
FZIC,medium_airport,Bangoka International Airport,0.481638997793,25.3379993439,CD,Kisangani,11483.0,0,0
FZJH,medium_airport,Matari Airport,2.82761,27.588301,CD,Isiro,8202.0,0,0
FZKA,medium_airport,Bunia Airport,1.565743,30.220685,CD,Bunia,6070.0,0,0
FZKJ,medium_airport,Buta Zega Airport,2.818058,24.793997,CD,Buta,6890.0,0,0
FZMA,medium_airport,Bukavu Kavumu Airport,-2.30898,28.8088,CD,Kamakombe,6562.0,0,0
FZNA,medium_airport,Goma International Airport,-1.66617,29.237929,CD,Goma,9695.0,0,0
FZOA,medium_airport,Kindu Airport,-2.91917991638,25.9153995514,CD,Kindu,7218.0,0,0
FZQA,medium_airport,Lubumbashi International Airport,-11.5913000107,27.5308990479,CD,Lubumbashi,10623.0,0,0
FZQM,medium_airport,Kolwezi Airport,-10.7659,25.505699,CD,Kolwezi,5741.0,0,0
FZRF,medium_airport,Kalemie Airport,-5.87556,29.25,CD,Kalemie,5741.0,0,0
FZSA,medium_airport,Kamina Air Base,-8.64202,25.252899,CD,Lumwe,8858.0,0,0
FZUA,medium_airport,Kananga Airport,-5.90005,22.4692,CD,Kananga,7218.0,0,0
FZWA,medium_airport,Mbuji Mayi Airport,-6.121240139010001,23.5690002441,CD,Mbuji Mayi,6558.0,0,0
GABS,large_airport,Modibo Keita International Airport,12.5335,-7.94994,ML,Bamako,10498.0,1,1
GAGO,medium_airport,Gao Airport,16.2484,-0.005456,ML,,8202.0,0,0
GAKY,medium_airport,Kayes Dag Dag Airport,14.482473,-11.39971,ML,,5267.0,0,0
GAMB,medium_airport,Mopti Ambodédjo International Airport,14.5128,-4.07956,ML,Sévaré,8340.0,0,0
GATB,medium_airport,Timbuktu Airport,16.730499,-3.00758,ML,Timbuktu,6923.0,0,0
GBYD,large_airport,Banjul International Airport,13.338,-16.652201,GM,Yundum,11811.0,1,1
GCFV,large_airport,Fuerteventura Airport,28.4527,-13.8638,ES,El Matorral,11598.0,1,1
GCHI,medium_airport,El Hierro Airport,27.8148,-17.8871,ES,El Hierro Island,4101.0,0,0
GCLA,medium_airport,La Palma Airport,28.626499,-17.7556,ES,"Sta Cruz de la Palma, La Palma Island",7218.0,0,0
GCLP,large_airport,Gran Canaria Airport,27.9319,-15.3866,ES,Gran Canaria Island,10171.0,1,1
GCRR,large_airport,César Manrique-Lanzarote Airport,28.945499,-13.6052,ES,San Bartolomé,7874.0,0,1
GCTS,large_airport,Tenerife Sur Airport,28.0445,-16.5725,ES,Tenerife,10499.0,1,1
GCXO,medium_airport,Tenerife Norte-Ciudad de La Laguna Airport,28.4827,-16.341499,ES,Tenerife,10404.0,0,0
GEML,medium_airport,Melilla Airport,35.2798,-2.95626,ES,Melilla,4701.0,0,0
GFBO,medium_airport,Bo Airport,7.9444,-11.761,SL,Bo,4003.0,0,0
GFKE,medium_airport,Kenema Airport,7.896364,-11.174126,SL,Kenema,3770.0,0,0
GFLL,large_airport,Lungi International Airport,8.61644,-13.1955,SL,Freetown (Lungi-Town),10498.0,1,1
GFYE,medium_airport,Yengema Airport,8.61047,-11.0454,SL,Yengema,3000.0,0,0
GGOV,medium_airport,Osvaldo Vieira International Airport,11.894800186157228,-15.65369987487793,GW,Bissau,10499.0,0,0
GLMR,medium_airport,Spriggs Payne Airport,6.28906,-10.7587,LR,Monrovia,6000.0,0,0
GLRB,large_airport,Roberts International Airport,6.23379,-10.3623,LR,Monrovia,11000.0,1,1
GMAD,large_airport,Al Massira Airport,30.322478,-9.412003,MA,Agadir (Temsia),10499.0,1,1
GMAT,medium_airport,Tan Tan Airport,28.44820022583008,-11.161299705505373,MA,Tan Tan,6562.0,0,0
GMFB,medium_airport,Bouarfa Airport,32.514306,-1.983056,MA,Bouarfa,10499.0,0,0
GMFF,large_airport,Fes Saïss International Airport,33.927299,-4.97796,MA,Saïss,10499.0,1,1
GMFK,medium_airport,Moulay Ali Cherif Airport,31.9475002289,-4.39833021164,MA,Errachidia,10499.0,0,0
GMFM,medium_airport,Bassatine Airport,33.879101,-5.51512,MA,Meknes,9252.0,0,0
GMFO,medium_airport,Oujda Angads Airport,34.789558,-1.926041,MA,Ahl Angad,9843.0,0,0
GMMA,medium_airport,Smara Airport,26.731987,-11.683655,EH,Smara,9850.0,0,0
GMME,large_airport,Rabat-Salé Airport,34.051498,-6.75152,MA,Rabat,11483.0,1,1
GMMH,medium_airport,Dakhla Airport,23.7183,-15.932,EH,Dakhla,9842.0,0,0
GMMI,medium_airport,Essaouira-Mogador Airport,31.397499,-9.68167,MA,Essaouira,8553.0,0,0
GMML,medium_airport,Hassan I Airport,27.142467,-13.224947,EH,El Aaiún,8861.0,0,0
GMMN,large_airport,Mohammed V International Airport,33.3675,-7.58997,MA,Casablanca,12205.0,1,1
GMMW,medium_airport,Nador Al Aaroui International Airport,34.9888,-3.02821,MA,Al Aaroui,9842.0,0,0
GMMX,large_airport,Menara Airport,31.606899,-8.0363,MA,Marrakech,10170.0,1,1
GMMY,medium_airport,Kenitra Air Base,34.298901,-6.59588,MA,Kenitra,7995.0,0,0
GMMZ,medium_airport,Ouarzazate Airport,30.9391002655,-6.909430027010001,MA,Ouarzazate,9842.0,0,0
GMTA,medium_airport,Cherif Al Idrissi Airport,35.177101,-3.83952,MA,Al Hoceima,10511.0,0,0
GMTN,medium_airport,Sania Ramel Airport,35.594299,-5.32002,MA,Tétouan,10784.0,0,0
GMTT,large_airport,Tangier Ibn Battuta Airport,35.731741,-5.921459,MA,Tangier,11483.0,1,1
GOBD,large_airport,Blaise Diagne International Airport,14.670878,-17.072829,SN,Dakar,11483.0,1,1
GOGG,medium_airport,Ziguinchor Airport,12.5556,-16.281799,SN,Ziguinchor,5069.0,0,0
GOGS,medium_airport,Cap Skirring Airport,12.39533,-16.748,SN,Cap Skirring,6573.0,0,0
GOOK,medium_airport,Kaolack Airport,14.146900177001951,-16.051300048828125,SN,Kaolack,5249.0,0,0
GOOY,medium_airport,Léopold Sédar Senghor International Airport,14.7397,-17.4902,SN,Dakar,11450.0,0,0
GOSM,medium_airport,Ouro Sogui Airport,15.5936,-13.3228,SN,Ouro Sogui,6299.0,0,0
GOSS,medium_airport,Saint Louis Airport,16.049814,-16.461039,SN,Saint Louis,6230.0,0,0
GOTB,medium_airport,Bakel Airport,14.847299575805664,-12.468299865722656,SN,Bakel,5741.0,0,0
GOTK,medium_airport,Kédougou Airport,12.57229995727539,-12.22029972076416,SN,Kédougou,5906.0,0,0
GOTT,medium_airport,Tambacounda Airport,13.7368,-13.6531,SN,Tambacounda,6562.0,0,0
GQNO,large_airport,Nouakchott–Oumtounsy International Airport,18.31,-15.969722,MR,Nouakchott,11155.0,1,1
GQPA,medium_airport,Atar International Airport,20.506799697875977,-13.04319953918457,MR,Atar,9855.0,0,0
GQPP,medium_airport,Nouadhibou International Airport,20.9330997467041,-17.030000686645508,MR,Nouadhibou,7961.0,0,0
GUCY,medium_airport,Conakry International Airport,9.57689,-13.612,GN,Conakry,10826.0,0,0
GVAC,large_airport,Amílcar Cabral International Airport,16.7414,-22.9494,CV,Espargos,9843.0,0,1
GVBA,medium_airport,Rabil Airport,16.136499404907227,-22.888900756835938,CV,Rabil,6890.0,0,0
GVMA,medium_airport,Maio Airport,15.15590000152588,-23.213699340820312,CV,Vila do Maio,3937.0,0,0
GVNP,large_airport,Nelson Mandela International Airport,14.941126,-23.484728,CV,Praia,6890.0,0,1
GVSN,medium_airport,Preguiça Airport,16.588852,-24.284132,CV,Preguiça,4593.0,0,0
GVSV,medium_airport,São Pedro Airport,16.8332,-25.0553,CV,São Pedro,6561.0,0,0
HAAB,large_airport,Addis Ababa Bole International Airport,8.97789,38.799301,ET,Addis Ababa,12467.0,1,1
HAAM,medium_airport,Arba Minch Airport,6.03939,37.5905,ET,Arba Minch,9170.0,0,0
HAAX,medium_airport,Axum Airport,14.1468,38.7728,ET,Axum,7874.0,0,0
HABD,medium_airport,Bahir Dar Airport,11.6081,37.321602,ET,Bahir Dar,9842.0,0,0
